A7YPWY1	OC-514	OC-514 Кришка оригiналів	 	5973,33	1194,67	7168	56,00
A7V7WY2	DF-628	DF-628 Автоподавач оригін. сканування двостор. реверсн. (до 45 стор./хв, міст. 100 арк.)	 	43733,33	8746,67	52480	410,00
9967004600	DK-514	DK-514 Тумба-пiдставка	 	13653,33	2730,67	16384	128,00
A860WY1	PC-114	PC-114 Універсальна касета для паперу мiсткiстю 500 аркушiв (A5 - А3)	 	56000	11200	67200	525,00
A860WY2	PC-214	PC-214 Універсальна касета для паперу мiсткiстю 2x500 аркушiв (A5 - А3)	 	83733,33	16746,67	100480	785,00
A860WY3	PC-414	PC-414 Касета великої місткості 2500 аркушiв (А4)	 	83733,33	16746,67	100480	785,00
996908-G109677		Замок касет та тонерів універсальний	 	8533,33	1706,67	10240	80,00
A2YVWY2	JS-506	JS-506 Лоток розділення завдань	 	32000	6400	38400	300,00
A8D9WY1	MK-603	MK-603 Монтажний комплект (обов'язковий до JS-506, FS-533, FS-534/SD)	 	3946,67	789,33	4736	37,00
A2YUWY2	FS-533	FS-533 Фінішер-степлер внутрішній. Скоби: SK-602. Сортування/ Групування зі зсувом, зшивання до 50 арк 52-90 г/м2 (Без обробки - 52-300 г/м2). Вих. міст. 500 арк. Зшивання - кутове та по краю листа 2-точкове. Перфорація (з опц. PK-519).	 	71466,67	14293,33	85760	670,00
A84FWY1	MK-602	MK-602 Монтажний комплект (обов'язковий до FS-533)	 	2880	576	3456	27,00
A8D9WY1	MK-603	MK-603 Монтажний комплект (обов'язковий до JS-506, FS-533, FS-534/SD)	 	3946,67	789,33	4736	37,00
A3EPWY2	FS-534	FS-534 Фінішер зовнішній. скоби: SK-602. Фукції - Сортування /Групування зі зсувом, зшивання (stapling), перфорація (з PK-520). Макс. зшитих листів - 50 арк.. Вихідна місткість (для листів 80 г/м2) - 3,300 арк.. Мін/ Макс щільність паперу - 52/300 г/м2. Зшивання (Stapling) - Кутове, по краю листа 2точки,. Створення готових брошюр - ні. Перфорація - ТАК (з PK-520). Фальцювання 2Х (по середині) - ні. Фальцювання 3Х (Z-тип) - ні. Фальцювання 3Х (П-тип) - ні. Вкладання обкладинки (Post insertion) - ні	 	104533,33	20906,67	125440	980,00
A84GWY1	RU-514	RU-514 Модуль просування паперу (обов'язковий до FS-534/SD)	 	13866,67	2773,33	16640	130,00
A8D9WY1	MK-603	MK-603 Монтажний комплект (обов'язковий до JS-506, FS-533, FS-534/SD)	 	3946,67	789,33	4736	37,00
A3EPWYC	FS-534SD	FS-534SD Фінішер зовнішній з буклетним пристроєм. скоби: SK-602. Фукції - Сортування /Групування зі зсувом, зшивання (stapling), перфорація (з PK-520), фальцювання, готові брошури. Макс. зшитих листів - 50 арк.. Вихідна місткість (для листів 80 г/м2) - 3,300 арк.. Мін/ Макс щільність паперу - 52/300 г/м2. Зшивання (Stapling) - Кутове, по краю листа 2точки, по центру листа 2точки буклетне. Створення готових брошюр - ТАК. Перфорація - ТАК (з PK-520). Фальцювання 2Х (по середині) - ТАК. Фальцювання 3Х (Z-тип) - ні. Фальцювання 3Х (П-тип) - ТАК. Вкладання обкладинки (Post insertion) - ні	 	183466,67	36693,33	220160	1720,00
A84GWY1	RU-514	RU-514 Модуль просування паперу (обов'язковий до FS-534/SD)	 	13866,67	2773,33	16640	130,00
A8D9WY1	MK-603	MK-603 Монтажний комплект (обов'язковий до JS-506, FS-533, FS-534/SD)	 	3946,67	789,33	4736	37,00
A3EUW22	PK-519	PK-519 Перфоратор (2/4 точки), опція до FS-533	 	27733,33	5546,67	33280	260,00
A3ETW21	PK-520	PK-520 Перфоратор (2/4 точки), опція до FS-534	 	32000	6400	38400	300,00
A879022	FK-513	FK-513 Факс G3	 	83200	16640	99840	780,00
A88AWY2	EK-608	EK-608 USB інтерфейс для USB клав./кардридера	 	9706,67	1941,33	11648	91,00
A87DWY2	EK-609	EK-609 USB інтерфейс для USB клав./кардридера, bluetooth, speakers	 	19733,33	3946,67	23680	185,00
A4NRWY1	KH-102	KH-102 Тримач для USB клавіатури	 	6506,67	1301,33	7808	61,00
A0X9WY1	AU-102 	AU-102 Пристрій ідентифікації (сканер капілярів пальця) (потрібен EK-608 або EK-609)	 	69866,67	13973,33	83840	655,00
