id,category,name,slug,provider,vendor_code,vendor,type_product,price,stock,available
14904,CATEGORY,"Ricoh Aficio MP 301SP, 30 стор./хв., мережевий принтер, копір, сканер, дуплекс",ricoh-aficio-mp-301sp-30-stor-khv-merezhevii-printer-kopir-skaner-dupleks-416183,megatrade,416183,Ricoh,TYPE_PRODUCT,41453,1,1
14905,CATEGORY,"Ricoh Aficio MP 301SPF, 30 стор./хв., мережевий принтер, копір, сканер, факс, ARDF, дуплекс",ricoh-aficio-mp-301spf-30-stor-khv-merezhevii-printer-kopir-skaner-faks-ardf-dupleks-418051,megatrade,418051,Ricoh,TYPE_PRODUCT,47884,1,1
14906,CATEGORY,"Ricoh Aficio MP 501SPF, 50 стор./хв., мережевий принтер, копір, сканер, факс, ARDF, дуплекс",ricoh-aficio-mp-501spf-50-stor-khv-merezhevii-printer-kopir-skaner-faks-ardf-dupleks-407810,megatrade,407810,Ricoh,TYPE_PRODUCT,67796,1,1
14907,CATEGORY,"Ricoh Aficio SP 5200S, 45 стор./хв., мережевий принтер, копір, сканер, ARDF, дуплекс",ricoh-aficio-sp-5200s-45-stor-khv-merezhevii-printer-kopir-skaner-ardf-dupleks-406922,megatrade,406922,Ricoh,TYPE_PRODUCT,78703,1,1
14908,CATEGORY,"Ricoh Aficio SP 5210SF, 50 стор./хв., мережевий принтер, копір, сканер, факс, ARDF, дуплекс",ricoh-aficio-sp-5210sf-50-stor-khv-merezhevii-printer-kopir-skaner-faks-ardf-dupleks-406924,megatrade,406924,Ricoh,TYPE_PRODUCT,102329,1,1
14909,CATEGORY,"Тонер-картридж тип 2210D чорний",toner-kartridzh-tip-2210d-chornii-885053,megatrade,885053,Ricoh,TYPE_PRODUCT,1081,1,1
14910,CATEGORY,"Тонер-картридж MP C3503 жовтий",toner-kartridzh-mp-c3503-zhovtii-841818,megatrade,841818,Ricoh,TYPE_PRODUCT,6059,1,1
14911,CATEGORY,"Вузол подачі масла тип P",vuzol-podachi-masla-tip-p-411744,megatrade,411744,Ricoh,TYPE_PRODUCT,2388,1,1
14912,CATEGORY,"Ємність для відпрацьованих чорнил GX7000",emnist-dlia-vidpratsovanikh-chornil-gx7000-405663,megatrade,405663,Ricoh,TYPE_PRODUCT,1383,1,1
14913,CATEGORY,"Ємність для відпрацьованого тонера AP3800 тип 3800",emnist-dlia-vidpratsovanogo-tonera-ap3800-tip-3800-400662,megatrade,400662,Ricoh,TYPE_PRODUCT,401,1,1
14914,CATEGORY,"Картридж SP C340E бірюзовий",kartridzh-sp-c340e-biriuzovii-407900,megatrade,407900,Ricoh,TYPE_PRODUCT,6180,1,1
14915,CATEGORY,"Картридж SP C352E жовтий",kartridzh-sp-c352e-zhovtii-407386,megatrade,407386,Ricoh,TYPE_PRODUCT,5155,1,1
14916,CATEGORY,"Картридж SP C352E малиновий",kartridzh-sp-c352e-malinovii-407385,megatrade,407385,Ricoh,TYPE_PRODUCT,5155,1,1
14917,CATEGORY,"Картридж SPC252E жовтий малої ємності",kartridzh-spc252e-zhovtii-maloyi-iemnosti-407534,megatrade,407534,Ricoh,TYPE_PRODUCT,4966,1,1
14918,CATEGORY,"Тонер-картридж MP 3353 чорний",toner-kartridzh-mp-3353-chornii-842342,megatrade,842342,Ricoh,TYPE_PRODUCT,892,1,1
